Model,CV AUC,Test AUC,Accuracy,Precision,Recall,F1
Gradient Boost,0.9014690714296354,0.9032289607945666,0.9335322013155882,0.7572815533980582,0.3439153439153439,0.4730139478471801
Random Forest,0.895529978972383,0.8963162372710112,0.9294018662995258,0.8005698005698005,0.24779541446208111,0.3784511784511784
AdaBoost,0.8854592902672872,0.8887087554172981,0.9268012849931161,0.6372093023255814,0.36243386243386244,0.4620573355817875
SVM,0.8810759433786777,0.882669372730791,0.8422059048493192,0.32903938167096064,0.7883597883597884,0.46429498831472343
Logistic Regression,0.880912073927707,0.8779661092056402,0.8100810769466116,0.28248951950983553,0.7724867724867724,0.4136953955135773
Decision Tree,0.7589114040429974,0.785366020283664,0.8048799143337922,0.26312270143764627,0.6940035273368607,0.38157575757575757
